epoca,acuracia_treino,acuracia_treino_percent,acuracia_validacao,acuracia_validacao_percent,acuracia_teste,acuracia_teste_percent
1,0.11933333333333333,11.93,0.1165,11.65,0.13,13.00
2,0.22933333333333333,22.93,0.2135,21.35,0.244,24.40
3,0.3515,35.15,0.338,33.80,0.373,37.30
4,0.4666666666666667,46.67,0.451,45.10,0.4625,46.25
5,0.5455,54.55,0.525,52.50,0.5395,53.95
6,0.5988333333333333,59.88,0.569,56.90,0.594,59.40
7,0.6326666666666667,63.27,0.5995,59.95,0.6305,63.05
8,0.6525,65.25,0.6305,63.05,0.6585,65.85
9,0.6763333333333333,67.63,0.652,65.20,0.6785,67.85
10,0.695,69.50,0.6775,67.75,0.6975,69.75
11,0.7143333333333334,71.43,0.7105,71.05,0.7165,71.65
12,0.7396666666666667,73.97,0.734,73.40,0.7385,73.85
13,0.7695,76.95,0.758,75.80,0.7595,75.95
14,0.7948333333333333,79.48,0.778,77.80,0.7815,78.15
15,0.8128333333333333,81.28,0.7905,79.05,0.7965,79.65
16,0.8226666666666667,82.27,0.801,80.10,0.808,80.80
17,0.8283333333333334,82.83,0.8045,80.45,0.814,81.40
18,0.8318333333333333,83.18,0.8095,80.95,0.823,82.30
19,0.836,83.60,0.8155,81.55,0.8315,83.15
20,0.84,84.00,0.826,82.60,0.835,83.50
21,0.847,84.70,0.8365,83.65,0.8385,83.85
22,0.8521666666666666,85.22,0.845,84.50,0.8425,84.25
23,0.8561666666666666,85.62,0.849,84.90,0.846,84.60
24,0.8603333333333333,86.03,0.8545,85.45,0.85,85.00
25,0.8653333333333333,86.53,0.861,86.10,0.8585,85.85
26,0.8698333333333333,86.98,0.861,86.10,0.862,86.20
27,0.8741666666666666,87.42,0.865,86.50,0.864,86.40
28,0.877,87.70,0.8665,86.65,0.8685,86.85
29,0.8808333333333334,88.08,0.8725,87.25,0.873,87.30
30,0.886,88.60,0.8785,87.85,0.8775,87.75
31,0.8895,88.95,0.88,88.00,0.8795,87.95
32,0.8933333333333333,89.33,0.8825,88.25,0.8805,88.05
33,0.8966666666666666,89.67,0.8855,88.55,0.8805,88.05
34,0.9,90.00,0.8865,88.65,0.883,88.30
35,0.9025,90.25,0.8885,88.85,0.8845,88.45
36,0.9045,90.45,0.89,89.00,0.887,88.70
37,0.9055,90.55,0.891,89.10,0.889,88.90
38,0.9085,90.85,0.8955,89.55,0.8905,89.05
39,0.9106666666666666,91.07,0.895,89.50,0.8925,89.25
40,0.9128333333333334,91.28,0.899,89.90,0.8965,89.65
41,0.9165,91.65,0.9035,90.35,0.898,89.80
42,0.9196666666666666,91.97,0.906,90.60,0.8985,89.85
43,0.9206666666666666,92.07,0.908,90.80,0.9005,90.05
44,0.9218333333333333,92.18,0.9105,91.05,0.9015,90.15
45,0.9236666666666666,92.37,0.911,91.10,0.9015,90.15
46,0.9245,92.45,0.9105,91.05,0.9025,90.25
47,0.926,92.60,0.9125,91.25,0.903,90.30
48,0.9288333333333333,92.88,0.9125,91.25,0.9035,90.35
49,0.9308333333333333,93.08,0.913,91.30,0.904,90.40
50,0.9321666666666667,93.22,0.9135,91.35,0.904,90.40
51,0.9335,93.35,0.9145,91.45,0.905,90.50
52,0.9345,93.45,0.914,91.40,0.9055,90.55
53,0.9348333333333333,93.48,0.9135,91.35,0.9055,90.55
54,0.9373333333333334,93.73,0.915,91.50,0.906,90.60
55,0.939,93.90,0.915,91.50,0.907,90.70
56,0.94,94.00,0.915,91.50,0.9085,90.85
57,0.9406666666666667,94.07,0.9155,91.55,0.908,90.80
58,0.9418333333333333,94.18,0.9165,91.65,0.9095,90.95
59,0.9428333333333333,94.28,0.9165,91.65,0.909,90.90
60,0.9441666666666667,94.42,0.918,91.80,0.9115,91.15
61,0.945,94.50,0.919,91.90,0.913,91.30
62,0.9461666666666667,94.62,0.9195,91.95,0.914,91.40
63,0.9468333333333333,94.68,0.9205,92.05,0.914,91.40
64,0.948,94.80,0.9205,92.05,0.914,91.40
65,0.949,94.90,0.9205,92.05,0.9145,91.45
66,0.9503333333333334,95.03,0.921,92.10,0.9145,91.45
67,0.9508333333333333,95.08,0.9215,92.15,0.9145,91.45
68,0.9525,95.25,0.9225,92.25,0.914,91.40
69,0.9535,95.35,0.9225,92.25,0.9155,91.55
70,0.9556666666666667,95.57,0.9225,92.25,0.916,91.60
71,0.9561666666666667,95.62,0.923,92.30,0.916,91.60
72,0.9576666666666667,95.77,0.924,92.40,0.917,91.70
73,0.9583333333333334,95.83,0.9245,92.45,0.9175,91.75
74,0.9588333333333333,95.88,0.9255,92.55,0.918,91.80
75,0.9593333333333334,95.93,0.9265,92.65,0.9175,91.75
76,0.9603333333333334,96.03,0.927,92.70,0.9185,91.85
77,0.9611666666666666,96.12,0.927,92.70,0.919,91.90
78,0.9618333333333333,96.18,0.927,92.70,0.9205,92.05
79,0.9621666666666666,96.22,0.9275,92.75,0.921,92.10
80,0.9625,96.25,0.9275,92.75,0.921,92.10
81,0.963,96.30,0.9285,92.85,0.9215,92.15
82,0.964,96.40,0.929,92.90,0.9215,92.15
83,0.965,96.50,0.9295,92.95,0.9225,92.25
84,0.9658333333333333,96.58,0.93,93.00,0.924,92.40
85,0.9661666666666666,96.62,0.93,93.00,0.924,92.40
86,0.9661666666666666,96.62,0.93,93.00,0.9245,92.45
87,0.9671666666666666,96.72,0.93,93.00,0.9255,92.55
88,0.968,96.80,0.931,93.10,0.9255,92.55
89,0.969,96.90,0.9325,93.25,0.926,92.60
90,0.9693333333333334,96.93,0.933,93.30,0.9265,92.65
91,0.9695,96.95,0.933,93.30,0.9255,92.55
92,0.9701666666666666,97.02,0.933,93.30,0.9255,92.55
93,0.9715,97.15,0.933,93.30,0.9265,92.65
94,0.9718333333333333,97.18,0.9335,93.35,0.9275,92.75
95,0.972,97.20,0.9335,93.35,0.9285,92.85
96,0.9728333333333333,97.28,0.9335,93.35,0.929,92.90
97,0.9731666666666666,97.32,0.934,93.40,0.9295,92.95
98,0.9736666666666667,97.37,0.9345,93.45,0.929,92.90
99,0.9746666666666667,97.47,0.9345,93.45,0.929,92.90
100,0.9751666666666666,97.52,0.9345,93.45,0.929,92.90
